           columna           |         tenantId          | filas |    suma     | residuo_float | filas_con_residuo 
 CommissionPayout.amount     | cmuf1ub190000vu7d06np040t |     9 |  3448995.00 |          0.00 |                 0
 Coupon.value                | cmrhv1kwk0018ww7dsn4r2df2 |     1 |       10.00 |          0.00 |                 0
 Coupon.value                | cmrj8c9s7004rww7d1ino07pg |     3 |       45.00 |          0.00 |                 0
 Coupon.value                | cmuf1ub190000vu7d06np040t |     2 |       25.00 |          0.00 |                 0
 Order.discount              | cmrhv1kwk0018ww7dsn4r2df2 |   485 |   195525.67 |          0.00 |                 0
 Order.discount              | cmrhw45s7001yww7dshs68gpr |  1305 |     2230.80 |          0.00 |                 0
 Order.discount              | cmrhx6qo6003bww7dtgtbxgk5 |   828 |        0.00 |          0.00 |                 0
 Order.discount              | cmrj8c9s7004rww7d1ino07pg |   301 |    34220.00 |          0.00 |                 0
 Order.discount              | cmrj9euo4005hww7du06r0nrj |   177 |        0.00 |          0.00 |                 0
 Order.subtotal              | cmrhv1kwk0018ww7dsn4r2df2 |   485 | 30162847.20 |          0.00 |                 0
 Order.subtotal              | cmrhw45s7001yww7dshs68gpr |  1305 | 69814854.30 |          0.00 |                 0
 Order.subtotal              | cmrhx6qo6003bww7dtgtbxgk5 |   828 | 43470934.10 |          0.00 |                 0
 Order.subtotal              | cmrj8c9s7004rww7d1ino07pg |   301 | 13585400.00 |          0.00 |                 0
 Order.subtotal              | cmrj9euo4005hww7du06r0nrj |   177 | 35814400.00 |          0.00 |                 0
 Order.total                 | cmrhv1kwk0018ww7dsn4r2df2 |   485 | 29967321.53 |          0.00 |                 0
 Order.total                 | cmrhw45s7001yww7dshs68gpr |  1305 | 69812623.50 |          0.00 |                 0
 Order.total                 | cmrhx6qo6003bww7dtgtbxgk5 |   828 | 43470934.10 |          0.00 |                 0
 Order.total                 | cmrj8c9s7004rww7d1ino07pg |   301 | 13551180.00 |          0.00 |                 0
 Order.total                 | cmrj9euo4005hww7du06r0nrj |   177 | 35814400.00 |          0.00 |                 0
 OrderItem.lineTotal         | cmrhv1kwk0018ww7dsn4r2df2 |  1138 | 30162847.20 |          0.00 |                 0
 OrderItem.lineTotal         | cmrhw45s7001yww7dshs68gpr |  2528 | 69814854.30 |          0.00 |                 0
 OrderItem.lineTotal         | cmrhx6qo6003bww7dtgtbxgk5 |  1584 | 43470934.10 |          0.00 |                 0
 OrderItem.lineTotal         | cmrj8c9s7004rww7d1ino07pg |   515 | 13585400.00 |          0.00 |                 0
 OrderItem.lineTotal         | cmrj9euo4005hww7du06r0nrj |   240 | 35814400.00 |          0.00 |                 0
 OrderItem.unitPrice         | cmrhv1kwk0018ww7dsn4r2df2 |  1138 | 21657300.00 |          0.00 |                 0
 OrderItem.unitPrice         | cmrhw45s7001yww7dshs68gpr |  2528 | 48659300.00 |          0.00 |                 0
 OrderItem.unitPrice         | cmrhx6qo6003bww7dtgtbxgk5 |  1584 | 30837800.00 |          0.00 |                 0
 OrderItem.unitPrice         | cmrj8c9s7004rww7d1ino07pg |   515 |  9000000.00 |          0.00 |                 0
 OrderItem.unitPrice         | cmrj9euo4005hww7du06r0nrj |   240 | 33803000.00 |          0.00 |                 0
 Payment.amount              | cmuf1ub190000vu7d06np040t |   428 | 12201050.00 |          0.00 |                 0
 Product.price               | cmrhv1kwk0018ww7dsn4r2df2 |     6 |    68000.00 |          0.00 |                 0
 Product.price               | cmrhw45s7001yww7dshs68gpr |     6 |    68000.00 |          0.00 |                 0
 Product.price               | cmrhx6qo6003bww7dtgtbxgk5 |     6 |    68000.00 |          0.00 |                 0
 Product.price               | cmrj8c9s7004rww7d1ino07pg |    20 |   370400.00 |          0.00 |                 0
 Product.price               | cmrj9euo4005hww7du06r0nrj |    21 |  4048900.00 |          0.00 |                 0
 Product.price               | cmuf1ub190000vu7d06np040t |     0 |             |               |                 0
 Product.price               | cmufyfulg00c2an7dh7k5yluf |     9 |    12900.00 |          0.00 |                 0
 Product.price               | cmufyijv200001m7dhn93d5rw |     6 |    68000.00 |          0.00 |                 0
 Product.pricePerKg          | cmrhv1kwk0018ww7dsn4r2df2 |    13 |   299100.00 |          0.00 |                 0
 Product.pricePerKg          | cmrhw45s7001yww7dshs68gpr |    13 |   299100.00 |          0.00 |                 0
 Product.pricePerKg          | cmrhx6qo6003bww7dtgtbxgk5 |    13 |   299100.00 |          0.00 |                 0
 Product.pricePerKg          | cmrj8c9s7004rww7d1ino07pg |     0 |             |               |                 0
 Product.pricePerKg          | cmrj9euo4005hww7du06r0nrj |     0 |             |               |                 0
 Product.pricePerKg          | cmuf1ub190000vu7d06np040t |     0 |             |               |                 0
 Product.pricePerKg          | cmufyfulg00c2an7dh7k5yluf |     1 |     4200.00 |          0.00 |                 0
 Product.pricePerKg          | cmufyijv200001m7dhn93d5rw |    13 |   299100.00 |          0.00 |                 0
 Service.depositAmount       | cmuf1ub190000vu7d06np040t |     5 |    55000.00 |          0.00 |                 0
 Service.price               | cmuf1ub190000vu7d06np040t |    15 |   474000.00 |          0.00 |                 0
 Service.residentPrice       | cmuf1ub190000vu7d06np040t |     0 |             |               |                 0
 StockMovement.unitCost      | cmrhv1kwk0018ww7dsn4r2df2 |  1491 | 17756520.00 |          0.00 |                 0
 StockMovement.unitCost      | cmrhw45s7001yww7dshs68gpr |  2765 | 32431070.00 |          0.00 |                 0
 StockMovement.unitCost      | cmrhx6qo6003bww7dtgtbxgk5 |  1758 | 20663730.00 |          0.00 |                 0
 StockMovement.unitCost      | cmrj8c9s7004rww7d1ino07pg |   389 |  3469100.00 |          0.00 |                 0
 StockMovement.unitCost      | cmrj9euo4005hww7du06r0nrj |   118 | 17801020.00 |          0.00 |                 0
 StockMovement.unitCost      | cmuf1ub190000vu7d06np040t |   265 |  3328300.00 |          0.00 |                 0
 StockPurchase.totalCost     | cmrhv1kwk0018ww7dsn4r2df2 |    44 | 16361250.00 |          0.00 |                 0
 StockPurchase.totalCost     | cmrhw45s7001yww7dshs68gpr |    46 | 41362825.00 |          0.00 |                 0
 StockPurchase.totalCost     | cmrhx6qo6003bww7dtgtbxgk5 |    45 | 25450475.00 |          0.00 |                 0
 StockPurchase.totalCost     | cmrj8c9s7004rww7d1ino07pg |    16 |  4257220.00 |          0.00 |                 0
 StockPurchase.totalCost     | cmrj9euo4005hww7du06r0nrj |    15 | 12238330.00 |          0.00 |                 0
 StockPurchase.totalCost     | cmuf1ub190000vu7d06np040t |     3 |  1242800.00 |          0.00 |                 0
 StockPurchaseItem.lineTotal | cmrhv1kwk0018ww7dsn4r2df2 |   220 | 16361250.00 |          0.00 |                 0
 StockPurchaseItem.lineTotal | cmrhw45s7001yww7dshs68gpr |   270 | 41362825.00 |          0.00 |                 0
 StockPurchaseItem.lineTotal | cmrhx6qo6003bww7dtgtbxgk5 |   260 | 25450475.00 |          0.00 |                 0
 StockPurchaseItem.lineTotal | cmrj8c9s7004rww7d1ino07pg |    93 |  4257220.00 |          0.00 |                 0
 StockPurchaseItem.lineTotal | cmrj9euo4005hww7du06r0nrj |    42 | 12238330.00 |          0.00 |                 0
 StockPurchaseItem.lineTotal | cmuf1ub190000vu7d06np040t |    14 |  1242800.00 |          0.00 |                 0
 StockPurchaseItem.unitCost  | cmrhv1kwk0018ww7dsn4r2df2 |   220 |  2657250.00 |          0.00 |                 0
 StockPurchaseItem.unitCost  | cmrhw45s7001yww7dshs68gpr |   270 |  3216090.00 |          0.00 |                 0
 StockPurchaseItem.unitCost  | cmrhx6qo6003bww7dtgtbxgk5 |   260 |  3128200.00 |          0.00 |                 0
 StockPurchaseItem.unitCost  | cmrj8c9s7004rww7d1ino07pg |    93 |   853880.00 |          0.00 |                 0
 StockPurchaseItem.unitCost  | cmrj9euo4005hww7du06r0nrj |    42 |  6983990.00 |          0.00 |                 0
 StockPurchaseItem.unitCost  | cmuf1ub190000vu7d06np040t |    14 |   160000.00 |          0.00 |                 0
(101 rows)

